City,Address,Longitude,Latitude,Price,bedrooms,property type,bathrooms,square footage,date built,extra features
WATERLOO,"280 LESTER STREET UNIT# 323, WATERLOO, ON N2L0G2",N/A,N/A,"$449,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"52 RUBY STREET, KITCHENER, ON N2M3E3",N/A,N/A,"$490,000",2,N/A,1,N/A,N/A,N/A
KITCHENER,"150 QUEEN STREET S UNIT# 301, KITCHENER, ON N2G4T7",N/A,N/A,"$400,000",3,N/A,2,N/A,N/A,N/A
KITCHENER,"34 BELWOOD CRESCENT, KITCHENER, ON N2C1Z3",N/A,N/A,"$799,900",6,N/A,4,N/A,N/A,N/A
KITCHENER,"525 ERINBROOK DRIVE UNIT# C061, KITCHENER, ON N2E3T1",N/A,N/A,"$501,900",2,N/A,2,N/A,N/A,N/A
WATERLOO,"C33 - 142 FOAMFLOWER PLACE, WATERLOO, ON N2C0G9",N/A,N/A,"$535,000",3,N/A,2,N/A,N/A,N/A
WATERLOO,"210 - 247 NORTHFIELD DRIVE E, WATERLOO, ON N2K0H1",N/A,N/A,"$329,900",1,N/A,1,N/A,N/A,N/A
KITCHENER,"61 WATERLOO STREET, KITCHENER, ON N2H3V1",N/A,N/A,"$899,000",3,N/A,3,N/A,N/A,N/A
KITCHENER,"61 WATERLOO STREET, KITCHENER, ON N2H3V1",N/A,N/A,"$899,000",3,N/A,3,N/A,N/A,N/A
STRATFORD,"25 BECKER STREET, STRATFORD, ON N5A0L2",N/A,N/A,"$588,000",3,N/A,3,N/A,N/A,N/A
WATERLOO,"107 ELLIS CRESCENT, WATERLOO, ON N2J2C1",N/A,N/A,"$749,000",5,N/A,3,N/A,N/A,N/A
KITCHENER,"4302 - 30 FRANCIS STREET, KITCHENER, ON N2G1H7",N/A,N/A,"$980,000",3,N/A,2,N/A,N/A,N/A
KITCHENER,"1460 HIGHLAND ROAD W UNIT# 6C, KITCHENER, ON N2N0B7",N/A,N/A,"$330,000",1,N/A,1,N/A,N/A,N/A
WATERLOO,"155 OAK PARK DRIVE, WATERLOO, ON N2K0B3",N/A,N/A,"$1,049,900",4,N/A,4,N/A,N/A,N/A
WATERLOO,"124 KING STREET N UNIT# 3, WATERLOO, ON N2J2X8",N/A,N/A,"$1,599",N/A,N/A,0,N/A,N/A,N/A
CAMBRIDGE,"28 - 755 LINDEN DRIVE, CAMBRIDGE, ON N3H0E4",N/A,N/A,"$695,000",3,N/A,3,N/A,N/A,N/A
WATERLOO,"67 PINEMEADOW CRESCENT, WATERLOO, ON N2T1A6",N/A,N/A,"$739,900",5,N/A,2,N/A,N/A,N/A
KITCHENER,"14 PIPERS GREEN COURT, KITCHENER, ON N2E3C6",N/A,N/A,"$699,900",3,N/A,2,N/A,N/A,N/A
KITCHENER,"5 WELLINGTON STREET S UNIT# 1511, KITCHENER, ON N2G0E3",N/A,N/A,"$389,900",2,N/A,1,N/A,N/A,N/A
KITCHENER,"509 - 24 MIDLAND DRIVE, KITCHENER, ON N2A2A8",N/A,N/A,"$350,000",2,N/A,1,N/A,N/A,N/A
