City,Address,Longitude,Latitude,Price,bedrooms,property type,bathrooms,square footage,date built,extra features
WATERLOO,"280 LESTER STREET UNIT# 323, WATERLOO, ON N2L0G2",N/A,N/A,"$449,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"52 RUBY STREET, KITCHENER, ON N2M3E3",-80.497518,43.439104,"$490,000",2,N/A,1,N/A,N/A,N/A
KITCHENER,"150 QUEEN STREET S UNIT# 301, KITCHENER, ON N2G4T7",N/A,N/A,"$400,000",3,N/A,2,N/A,N/A,N/A
KITCHENER,"34 BELWOOD CRESCENT, KITCHENER, ON N2C1Z3",-80.448303,43.4235288,"$799,900",6,N/A,4,N/A,N/A,N/A
KITCHENER,"525 ERINBROOK DRIVE UNIT# C061, KITCHENER, ON N2E3T1",N/A,N/A,"$501,900",2,N/A,2,N/A,N/A,N/A
WATERLOO,"C33 - 142 FOAMFLOWER PLACE, WATERLOO, ON N2C0G9",N/A,N/A,"$535,000",3,N/A,2,N/A,N/A,N/A
WATERLOO,"210 - 247 NORTHFIELD DRIVE E, WATERLOO, ON N2K0H1",N/A,N/A,"$329,900",1,N/A,1,N/A,N/A,N/A
KITCHENER,"61 WATERLOO STREET, KITCHENER, ON N2H3V1",-80.4996023,43.4559313,"$899,000",3,N/A,3,N/A,N/A,N/A
KITCHENER,"61 WATERLOO STREET, KITCHENER, ON N2H3V1",-80.4996023,43.4559313,"$899,000",3,N/A,3,N/A,N/A,N/A
STRATFORD,"25 BECKER STREET, STRATFORD, ON N5A0L2",N/A,N/A,"$588,000",3,N/A,3,N/A,N/A,N/A
WATERLOO,"107 ELLIS CRESCENT, WATERLOO, ON N2J2C1",-80.504284,43.467371,"$749,000",5,N/A,3,N/A,N/A,N/A
KITCHENER,"4302 - 30 FRANCIS STREET, KITCHENER, ON N2G1H7",-80.4967739,43.4515531,"$980,000",3,N/A,2,N/A,N/A,N/A
KITCHENER,"1460 HIGHLAND ROAD W UNIT# 6C, KITCHENER, ON N2N0B7",N/A,N/A,"$330,000",1,N/A,1,N/A,N/A,N/A
WATERLOO,"155 OAK PARK DRIVE, WATERLOO, ON N2K0B3",-80.4960275,43.520248,"$1,049,900",4,N/A,4,N/A,N/A,N/A
WATERLOO,"124 KING STREET N UNIT# 3, WATERLOO, ON N2J2X8",N/A,N/A,"$1,599",N/A,N/A,0,N/A,N/A,N/A
CAMBRIDGE,"28 - 755 LINDEN DRIVE, CAMBRIDGE, ON N3H0E4",N/A,N/A,"$695,000",3,N/A,3,N/A,N/A,N/A
WATERLOO,"67 PINEMEADOW CRESCENT, WATERLOO, ON N2T1A6",-80.5546205,43.4495129,"$739,900",5,N/A,2,N/A,N/A,N/A
KITCHENER,"14 PIPERS GREEN COURT, KITCHENER, ON N2E3C6",-80.4875628,43.4064657,"$699,900",3,N/A,2,N/A,N/A,N/A
KITCHENER,"5 WELLINGTON STREET S UNIT# 1511, KITCHENER, ON N2G0E3",N/A,N/A,"$389,900",2,N/A,1,N/A,N/A,N/A
KITCHENER,"509 - 24 MIDLAND DRIVE, KITCHENER, ON N2A2A8",-80.4471559,43.448497,"$350,000",2,N/A,1,N/A,N/A,N/A
WATERLOO,"12C - 139 BRIGHTON STREET, WATERLOO, ON N2J4Z5",-80.5193449,43.4720384,"$399,000",2,N/A,1,N/A,N/A,N/A
KITCHENER,"18 HOLBORN COURT UNIT# 203, KITCHENER, ON N2A4A1",N/A,N/A,"$309,900",2,N/A,2,N/A,N/A,N/A
KITCHENER,"189 GATEWOOD ROAD, KITCHENER, ON N2M4E3",-80.5088547,43.4319545,"$799,900",6,N/A,2,N/A,N/A,N/A
WATERLOO,"1003 - 375 KING STREET N, WATERLOO, ON N2J4L6",N/A,N/A,"$359,900",3,N/A,2,N/A,N/A,N/A
WATERLOO,"284 WESTCOURT PLACE, WATERLOO, ON N2L2R7",-80.5399122,43.4617345,"$549,900",4,N/A,3,N/A,N/A,N/A
WATERLOO,"116 WATERLOO STREET, WATERLOO, ON N2J1X9",-80.5074703,43.4623147,"$650,000",3,N/A,2,N/A,N/A,N/A
KITCHENER,"905 - 60 FREDERICK STREET, KITCHENER, ON N2H0C7",N/A,N/A,"$294,900",1,N/A,1,N/A,N/A,N/A
KITCHENER,"392 BREITHAUPT STREET, KITCHENER, ON N2H5H9",-80.4820924,43.4608436,"$539,900",3,N/A,2,N/A,N/A,N/A
WATERLOO,"620 - 251 HEMLOCK STREET, WATERLOO, ON N2L0H2",N/A,N/A,"$445,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"603 - 100 GARMENT STREET, KITCHENER, ON N2G0C3",N/A,N/A,"$250,000",1,N/A,1,N/A,N/A,N/A
KITCHENER,"58 RENFREW STREET, KITCHENER, ON N2R0G5",-80.4719983,43.3833187,"$725,000",3,N/A,3,N/A,N/A,N/A
KITCHENER,"15 WELLINGTON STREET, KITCHENER, ON N2G0E4",-80.5028432,43.4537281,"$425,000",1,N/A,1,N/A,N/A,N/A
KITCHENER,"220 BRUCE STREET, KITCHENER, ON N2B1Z3",-80.465329,43.4567136,"$699,900",4,N/A,2,N/A,N/A,N/A
WATERLOO,"604 - 107 ROGER STREET, WATERLOO, ON N2J0G3",-80.5054452,43.4633336,"$550,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"15 WELLINGTON STREET UNIT# 318, KITCHENER, ON N2G0E4",N/A,N/A,"$425,000",2,N/A,1,N/A,N/A,N/A
WATERLOO,"184 ROXTON DRIVE UNIT# 16, WATERLOO, ON N2T1N8",N/A,N/A,"$949,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"220 BRUCE STREET, KITCHENER, ON N2B1Z3",-80.465329,43.4567136,"$699,900",4,N/A,2,N/A,N/A,N/A
KITCHENER,"66 BELWOOD CRESCENT, KITCHENER, ON N2C1Z3",-80.4495117,43.423109,"$729,000",5,N/A,2,N/A,N/A,N/A
