Neighborhood,Year,Season,Property Type,Bedrooms,Bathrooms,Year Built,Renovation Year,Garage Type,Square Footage (House),Square Footage (Land),Basement,Legal Units,Market Price
Kitsilano,2004,Spring,Triplex,1,3,1954,2000.0,Double,1308,6742,Not Finished,2,1734587.4
Kitsilano,2004,Summer,Condo,3,1,2022,,Single,3947,2592,Finished,0,951731.62
Kitsilano,2004,Fall,House,4,1,2006,,None,919,9519,Not Finished,2,1782016.8
Kitsilano,2004,Winter,Condo,2,2,1960,,Triple,2352,1555,Not Finished,2,335768.06
Kitsilano,2005,Spring,Duplex,5,2,1960,1992.0,None,2474,7031,Not Finished,0,1571528.42
Kitsilano,2005,Summer,Triplex,5,3,1994,2020.0,None,1431,5643,Finished,2,2123280.79
Kitsilano,2005,Fall,Duplex,1,3,1983,1995.0,None,975,2527,Finished,1,792153.77
Kitsilano,2005,Winter,Duplex,3,1,1984,2021.0,Double,2354,4743,Finished,1,2301343.89
Kitsilano,2006,Spring,Condo,4,3,1989,2011.0,Single,4752,6372,Not Finished,2,868930.38
Kitsilano,2006,Summer,Triplex,4,1,2018,,None,3316,9974,Finished,2,860192.06
Kitsilano,2006,Fall,Duplex,3,1,2016,,None,2827,1785,Not Finished,1,2369502.98
Kitsilano,2006,Winter,Condo,1,2,1972,2018.0,Triple,4497,4310,Not Finished,2,347252.52
Kitsilano,2007,Spring,Duplex,4,1,2011,2021.0,Single,1178,6984,Not Finished,2,1924005.91
Kitsilano,2007,Summer,Condo,2,1,1972,1992.0,Double,4797,7797,Not Finished,1,533295.74
Kitsilano,2007,Fall,Condo,1,3,1999,2013.0,Single,4277,7063,Not Finished,0,551741.34
Kitsilano,2007,Winter,Condo,3,1,1959,1993.0,None,2963,9805,Finished,2,801727.0
Kitsilano,2008,Spring,Condo,2,2,1965,2013.0,Double,3687,4677,Finished,0,542542.68
Kitsilano,2008,Summer,Triplex,2,2,1974,,Double,1247,4564,Finished,2,1916970.18
Kitsilano,2008,Fall,Duplex,5,1,1953,1978.0,Single,4412,3959,Finished,1,2508708.53
Kitsilano,2008,Winter,Triplex,3,3,2016,,Single,558,1462,Finished,2,2701618.51
Kitsilano,2009,Spring,Townhouse,1,1,1958,2005.0,Triple,2007,9953,Not Finished,2,1550124.06
